family,provider_id,name,lag_months,minimum_release_lag,release_feasible,train_n,train_corr,full_n,full_corr,evaluation_n,evaluation_corr,early_evaluation_n,early_evaluation_corr,late_evaluation_n,late_evaluation_corr
eu27_imports_from_china_yoy,G020059950,欧盟27国:进口金额:中国:所有产品:当月同比,-1,2,False,35,0.7572064124025903,57,0.6384049730835025,22,-0.17525846796993427,12,-0.21777166305004336,10,-0.020533964447110302
eu27_imports_from_china_yoy,G020059950,欧盟27国:进口金额:中国:所有产品:当月同比,0,2,False,35,0.6840646337477154,58,0.5757055574953424,23,-0.053652429973980835,12,-0.002880635912489319,11,0.22784013276667928
eu27_imports_from_china_yoy,G020059950,欧盟27国:进口金额:中国:所有产品:当月同比,1,2,False,35,0.5809282971384335,58,0.4671545625719843,23,-0.1804596058532526,12,-0.2542161452568715,11,-0.05374674246954329
eu27_imports_from_china_yoy,G020059950,欧盟27国:进口金额:中国:所有产品:当月同比,2,2,True,35,0.45172760030919973,58,0.38681357164317004,23,0.15838810745253645,12,0.10827600901508715,11,0.4102476418604437
eu27_imports_from_china_yoy,G020059950,欧盟27国:进口金额:中国:所有产品:当月同比,3,2,True,34,0.33651952556120035,57,0.2604068854580151,23,-0.01676281047334357,12,0.29025201738693757,11,-0.09557635115327368
taiwan_imports_from_mainland_yoy,G002610107,中国台湾:进口总额:美元:大陆,-1,1,False,24,0.16351226193470256,48,0.4699389573519673,24,0.305603984278445,12,-0.12003723773541508,12,0.4115391202875202
taiwan_imports_from_mainland_yoy,G002610107,中国台湾:进口总额:美元:大陆,0,1,False,23,0.32615698202896337,48,0.5262478196549282,25,0.19104840588249503,12,-0.38211225434859747,13,0.27753411303080067
taiwan_imports_from_mainland_yoy,G002610107,中国台湾:进口总额:美元:大陆,1,1,True,22,0.4681425697495959,47,0.7520621656318516,25,0.695496829779409,12,0.5875130902514871,13,0.8818234028564617
taiwan_imports_from_mainland_yoy,G002610107,中国台湾:进口总额:美元:大陆,2,1,True,21,0.2668599213097588,46,0.48223160758119005,25,0.018249584167170787,12,-0.5055435817846898,13,0.09897592354652707
taiwan_imports_from_mainland_yoy,G002610107,中国台湾:进口总额:美元:大陆,3,1,True,20,0.1794727233140656,45,0.5283233287909519,25,0.19336472281573955,12,-0.14519585722010325,13,0.33795369613570825
malaysia_imports_from_china_yoy,G019589311,马来西亚:进口金额:中国:当月值,-1,1,False,4,,27,0.20510485298030293,23,0.24255060493165487,12,0.23598939934471602,11,0.0859162083726924
malaysia_imports_from_china_yoy,G019589311,马来西亚:进口金额:中国:当月值,0,1,False,3,,27,0.35895371184558883,24,0.3731519434181938,12,0.05653563319003352,12,0.32112286768067994
malaysia_imports_from_china_yoy,G019589311,马来西亚:进口金额:中国:当月值,1,1,True,2,,26,0.06780246148570301,24,0.06971433358464907,12,-0.24090411872989945,12,-0.025421361001863547
malaysia_imports_from_china_yoy,G019589311,马来西亚:进口金额:中国:当月值,2,1,True,1,,25,0.31453042296546563,24,0.31599406536846997,12,-0.23402312589668872,12,0.4009150574422026
malaysia_imports_from_china_yoy,G019589311,马来西亚:进口金额:中国:当月值,3,1,True,0,,24,0.36909731834991566,24,0.36909731834991566,12,0.127669834564563,12,0.3953560598809229
thailand_imports_from_china_yoy,G019713134,泰国:进口金额:中国:总计:当月值,-1,1,False,25,0.619295164561202,48,0.544816086735195,23,0.02206283066433346,12,-0.28377597322889353,11,-0.024719677722791857
thailand_imports_from_china_yoy,G019713134,泰国:进口金额:中国:总计:当月值,0,1,False,24,0.7572168253519878,48,0.8045755349048681,24,0.6813720196828628,12,0.48992292482669664,12,0.7928511965939171
thailand_imports_from_china_yoy,G019713134,泰国:进口金额:中国:总计:当月值,1,1,True,23,0.3978277874949184,47,0.4630822615259978,24,-0.13937644057483145,12,-0.3333339979617451,12,-0.31208317779463857
thailand_imports_from_china_yoy,G019713134,泰国:进口金额:中国:总计:当月值,2,1,True,22,0.05686934135031707,46,0.46811349162428995,24,0.21522596910882516,12,-0.4646694228401482,12,0.4192054976247782
thailand_imports_from_china_yoy,G019713134,泰国:进口金额:中国:总计:当月值,3,1,True,21,-0.05333277094401099,45,0.42290996717715956,24,0.14633264223162365,12,0.4663179477678808,12,-0.15551384301571167
